x-axis,1,2
second,Volt,Volt
-25.00000E-03,-32.60050E-03,+42.06909E-03
-24.97500E-03,-42.65075E-03,+60.15955E-03
-24.95000E-03,-32.60050E-03,+44.33040E-03
-24.92500E-03,-32.60050E-03,+96.34045E-03
-24.90000E-03,-52.70100E-03,+42.06909E-03
-24.87500E-03,-41.39447E-03,+60.15955E-03
-24.85000E-03,-32.60050E-03,+42.06909E-03
-24.82500E-03,-32.60050E-03,+62.42085E-03
-24.80000E-03,-32.60050E-03,+42.06909E-03
-24.77500E-03,-42.65075E-03,+42.06909E-03
-24.75000E-03,-32.60050E-03,+78.25000E-03
-24.72500E-03,-42.65075E-03,+42.06909E-03
-24.70000E-03,-32.60050E-03,+112.16960E-03
-24.67500E-03,-52.70100E-03,+78.25000E-03
-24.65000E-03,-32.60050E-03,+78.25000E-03
-24.62500E-03,-32.60050E-03,+62.42085E-03
-24.60000E-03,-51.44472E-03,+44.33040E-03
-24.57500E-03,-42.65075E-03,+62.42085E-03
-24.55000E-03,-32.60050E-03,+78.25000E-03
-24.52500E-03,-32.60050E-03,+60.15955E-03
-24.50000E-03,-52.70100E-03,+78.25000E-03
-24.47500E-03,-41.39447E-03,+62.42085E-03
-24.45000E-03,-32.60050E-03,+78.25000E-03
-24.42500E-03,-32.60050E-03,+60.15955E-03
-24.40000E-03,-32.60050E-03,+44.33040E-03
-24.37500E-03,-32.60050E-03,+78.25000E-03
-24.35000E-03,-32.60050E-03,+8.14949E-03
-24.32500E-03,-32.60050E-03,+42.06909E-03
-24.30000E-03,-32.60050E-03,+78.25000E-03
-24.27500E-03,-31.34422E-03,+62.42085E-03
-24.25000E-03,-32.60050E-03,+44.33040E-03
-24.22500E-03,-52.70100E-03,+42.06909E-03
-24.20000E-03,-51.44472E-03,+42.06909E-03
-24.17500E-03,-52.70100E-03,+78.25000E-03
-24.15000E-03,-32.60050E-03,+42.06909E-03
-24.12500E-03,-42.65075E-03,+42.06909E-03
-24.10000E-03,-32.60050E-03,+42.06909E-03
-24.07500E-03,-21.29397E-03,+114.43090E-03
-24.05000E-03,-51.44472E-03,+42.06909E-03
-24.02500E-03,-41.39447E-03,+42.06909E-03
-24.00000E-03,-32.60050E-03,+8.14949E-03
-23.97500E-03,-42.65075E-03,+62.42085E-03
-23.95000E-03,-32.60050E-03,+78.25000E-03
-23.92500E-03,-41.39447E-03,+42.06909E-03
-23.90000E-03,-52.70100E-03,+78.25000E-03
-23.87500E-03,-41.39447E-03,+23.97864E-03
-23.85000E-03,-32.60050E-03,+44.33040E-03
